{Temperature=26.2, SoundIntensity=0, Humidity=47.6, Wet=0, LightIntensity=230, timestamp=20180708T101547Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=226, timestamp=20180708T101549Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=232, timestamp=20180708T101552Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.9, Wet=0, LightIntensity=238, timestamp=20180708T101555Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=241, timestamp=20180708T101559Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.7, Wet=0, LightIntensity=236, timestamp=20180708T101602Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=235, timestamp=20180708T101606Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=237, timestamp=20180708T101609Z}
{Temperature=26.3, SoundIntensity=0, Humidity=48, Wet=0, LightIntensity=241, timestamp=20180708T101612Z}
{Temperature=26.3, SoundIntensity=0, Humidity=48, Wet=0, LightIntensity=225, timestamp=20180708T101615Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.9, Wet=0, LightIntensity=240, timestamp=20180708T101618Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=230, timestamp=20180708T101622Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.9, Wet=0, LightIntensity=228, timestamp=20180708T101625Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.9, Wet=0, LightIntensity=230, timestamp=20180708T101628Z}
{Temperature=26.3, SoundIntensity=0, Humidity=48, Wet=0, LightIntensity=225, timestamp=20180708T101631Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=232, timestamp=20180708T101634Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.7, Wet=0, LightIntensity=232, timestamp=20180708T101638Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=224, timestamp=20180708T101641Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=230, timestamp=20180708T101644Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.9, Wet=0, LightIntensity=223, timestamp=20180708T101647Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.9, Wet=0, LightIntensity=229, timestamp=20180708T101650Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=230, timestamp=20180708T101653Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=230, timestamp=20180708T101657Z}
